FrameCount, FrameTime, groupSizeX, groupSizeY, groupNumX, groupNumY, worksetSizeX, worksetSizeY, 
1, 0.104194, 800, 1, 2, 900, 1600, 900, 
2, 0.063437, 800, 1, 2, 900, 1600, 900, 
3, 0.074687, 800, 1, 2, 900, 1600, 900, 
4, 0.072757, 800, 1, 2, 900, 1600, 900, 
5, 0.073282, 800, 1, 2, 900, 1600, 900, 
6, 0.099225, 800, 1, 2, 900, 1600, 900, 
7, 0.096270, 800, 1, 2, 900, 1600, 900, 
8, 0.079895, 800, 1, 2, 900, 1600, 900, 
9, 0.063745, 800, 1, 2, 900, 1600, 900, 
10, 0.070108, 800, 1, 2, 900, 1600, 900, 
11, 0.079230, 800, 1, 2, 900, 1600, 900, 
12, 0.058075, 800, 1, 2, 900, 1600, 900, 
13, 0.060230, 800, 1, 2, 900, 1600, 900, 
14, 0.064805, 800, 1, 2, 900, 1600, 900, 
15, 0.078367, 800, 1, 2, 900, 1600, 900, 
16, 0.080004, 800, 1, 2, 900, 1600, 900, 
17, 0.058688, 800, 1, 2, 900, 1600, 900, 
18, 0.064530, 800, 1, 2, 900, 1600, 900, 
19, 0.075609, 800, 1, 2, 900, 1600, 900, 
20, 0.061309, 800, 1, 2, 900, 1600, 900, 
21, 0.054909, 800, 1, 2, 900, 1600, 900, 
22, 0.061575, 800, 1, 2, 900, 1600, 900, 
23, 0.063559, 800, 1, 2, 900, 1600, 900, 
24, 0.055746, 800, 1, 2, 900, 1600, 900, 
25, 0.048459, 800, 1, 2, 900, 1600, 900, 
26, 0.054177, 800, 1, 2, 900, 1600, 900, 
27, 0.066477, 800, 1, 2, 900, 1600, 900, 
28, 0.049537, 800, 1, 2, 900, 1600, 900, 
29, 0.049577, 800, 1, 2, 900, 1600, 900, 
30, 0.049332, 800, 1, 2, 900, 1600, 900, 
31, 0.052953, 800, 1, 2, 900, 1600, 900, 
32, 0.045244, 800, 1, 2, 900, 1600, 900, 
33, 0.058190, 800, 1, 2, 900, 1600, 900, 
34, 0.042361, 800, 1, 2, 900, 1600, 900, 
35, 0.047451, 800, 1, 2, 900, 1600, 900, 
36, 0.063547, 800, 1, 2, 900, 1600, 900, 
37, 0.043175, 800, 1, 2, 900, 1600, 900, 
38, 0.049015, 800, 1, 2, 900, 1600, 900, 
39, 0.045257, 800, 1, 2, 900, 1600, 900, 
40, 0.058054, 800, 1, 2, 900, 1600, 900, 
41, 0.047601, 800, 1, 2, 900, 1600, 900, 
42, 0.049466, 800, 1, 2, 900, 1600, 900, 
43, 0.045416, 800, 1, 2, 900, 1600, 900, 
44, 0.048516, 800, 1, 2, 900, 1600, 900, 
45, 0.056760, 800, 1, 2, 900, 1600, 900, 
46, 0.051175, 800, 1, 2, 900, 1600, 900, 
47, 0.052825, 800, 1, 2, 900, 1600, 900, 
48, 0.059603, 800, 1, 2, 900, 1600, 900, 
49, 0.048663, 800, 1, 2, 900, 1600, 900, 
50, 0.048633, 800, 1, 2, 900, 1600, 900, 
51, 0.041455, 800, 1, 2, 900, 1600, 900, 
52, 0.041308, 800, 1, 2, 900, 1600, 900, 
53, 0.041435, 800, 1, 2, 900, 1600, 900, 
54, 0.041588, 800, 1, 2, 900, 1600, 900, 
55, 0.036724, 800, 1, 2, 900, 1600, 900, 
56, 0.038807, 800, 1, 2, 900, 1600, 900, 
57, 0.049883, 800, 1, 2, 900, 1600, 900, 
58, 0.048781, 800, 1, 2, 900, 1600, 900, 
59, 0.045207, 800, 1, 2, 900, 1600, 900, 
60, 0.049906, 800, 1, 2, 900, 1600, 900, 
61, 0.037614, 800, 1, 2, 900, 1600, 900, 
62, 0.041886, 800, 1, 2, 900, 1600, 900, 
63, 0.043574, 800, 1, 2, 900, 1600, 900, 
64, 0.041975, 800, 1, 2, 900, 1600, 900, 
65, 0.050104, 800, 1, 2, 900, 1600, 900, 
66, 0.042131, 800, 1, 2, 900, 1600, 900, 
67, 0.049979, 800, 1, 2, 900, 1600, 900, 
68, 0.041844, 800, 1, 2, 900, 1600, 900, 
69, 0.043952, 800, 1, 2, 900, 1600, 900, 
70, 0.037270, 800, 1, 2, 900, 1600, 900, 
