FrameCount, FrameTime, groupSizeX, groupSizeY, groupNumX, groupNumY, worksetSizeX, worksetSizeY, 
1, 0.036749, 160, 3, 10, 300, 1600, 900, 
2, 0.016325, 160, 3, 10, 300, 1600, 900, 
3, 0.018142, 160, 3, 10, 300, 1600, 900, 
4, 0.019029, 160, 3, 10, 300, 1600, 900, 
5, 0.018217, 160, 3, 10, 300, 1600, 900, 
6, 0.018003, 160, 3, 10, 300, 1600, 900, 
7, 0.017816, 160, 3, 10, 300, 1600, 900, 
8, 0.017463, 160, 3, 10, 300, 1600, 900, 
9, 0.016718, 160, 3, 10, 300, 1600, 900, 
10, 0.016013, 160, 3, 10, 300, 1600, 900, 
11, 0.015923, 160, 3, 10, 300, 1600, 900, 
12, 0.017120, 160, 3, 10, 300, 1600, 900, 
13, 0.017962, 160, 3, 10, 300, 1600, 900, 
14, 0.019705, 160, 3, 10, 300, 1600, 900, 
15, 0.017834, 160, 3, 10, 300, 1600, 900, 
16, 0.017926, 160, 3, 10, 300, 1600, 900, 
17, 0.017622, 160, 3, 10, 300, 1600, 900, 
18, 0.016872, 160, 3, 10, 300, 1600, 900, 
19, 0.016312, 160, 3, 10, 300, 1600, 900, 
20, 0.016733, 160, 3, 10, 300, 1600, 900, 
21, 0.016072, 160, 3, 10, 300, 1600, 900, 
22, 0.017122, 160, 3, 10, 300, 1600, 900, 
23, 0.016778, 160, 3, 10, 300, 1600, 900, 
24, 0.016642, 160, 3, 10, 300, 1600, 900, 
25, 0.017356, 160, 3, 10, 300, 1600, 900, 
26, 0.016271, 160, 3, 10, 300, 1600, 900, 
27, 0.018605, 160, 3, 10, 300, 1600, 900, 
28, 0.020126, 160, 3, 10, 300, 1600, 900, 
29, 0.022952, 160, 3, 10, 300, 1600, 900, 
30, 0.021542, 160, 3, 10, 300, 1600, 900, 
31, 0.020743, 160, 3, 10, 300, 1600, 900, 
32, 0.019569, 160, 3, 10, 300, 1600, 900, 
33, 0.020327, 160, 3, 10, 300, 1600, 900, 
34, 0.019858, 160, 3, 10, 300, 1600, 900, 
35, 0.019605, 160, 3, 10, 300, 1600, 900, 
36, 0.018414, 160, 3, 10, 300, 1600, 900, 
37, 0.019111, 160, 3, 10, 300, 1600, 900, 
38, 0.018768, 160, 3, 10, 300, 1600, 900, 
39, 0.018607, 160, 3, 10, 300, 1600, 900, 
40, 0.018825, 160, 3, 10, 300, 1600, 900, 
41, 0.018519, 160, 3, 10, 300, 1600, 900, 
42, 0.018405, 160, 3, 10, 300, 1600, 900, 
43, 0.018223, 160, 3, 10, 300, 1600, 900, 
44, 0.017787, 160, 3, 10, 300, 1600, 900, 
45, 0.016812, 160, 3, 10, 300, 1600, 900, 
46, 0.017596, 160, 3, 10, 300, 1600, 900, 
47, 0.017927, 160, 3, 10, 300, 1600, 900, 
48, 0.017629, 160, 3, 10, 300, 1600, 900, 
49, 0.017411, 160, 3, 10, 300, 1600, 900, 
50, 0.017163, 160, 3, 10, 300, 1600, 900, 
51, 0.017424, 160, 3, 10, 300, 1600, 900, 
52, 0.020262, 160, 3, 10, 300, 1600, 900, 
53, 0.025179, 160, 3, 10, 300, 1600, 900, 
54, 0.021942, 160, 3, 10, 300, 1600, 900, 
55, 0.024764, 160, 3, 10, 300, 1600, 900, 
56, 0.022246, 160, 3, 10, 300, 1600, 900, 
57, 0.027961, 160, 3, 10, 300, 1600, 900, 
58, 0.021660, 160, 3, 10, 300, 1600, 900, 
59, 0.021969, 160, 3, 10, 300, 1600, 900, 
60, 0.023553, 160, 3, 10, 300, 1600, 900, 
61, 0.024820, 160, 3, 10, 300, 1600, 900, 
62, 0.022430, 160, 3, 10, 300, 1600, 900, 
63, 0.021820, 160, 3, 10, 300, 1600, 900, 
64, 0.021382, 160, 3, 10, 300, 1600, 900, 
65, 0.021329, 160, 3, 10, 300, 1600, 900, 
66, 0.024036, 160, 3, 10, 300, 1600, 900, 
67, 0.020176, 160, 3, 10, 300, 1600, 900, 
68, 0.021308, 160, 3, 10, 300, 1600, 900, 
69, 0.022233, 160, 3, 10, 300, 1600, 900, 
70, 0.020304, 160, 3, 10, 300, 1600, 900, 
71, 0.019912, 160, 3, 10, 300, 1600, 900, 
72, 0.020343, 160, 3, 10, 300, 1600, 900, 
73, 0.021859, 160, 3, 10, 300, 1600, 900, 
74, 0.019901, 160, 3, 10, 300, 1600, 900, 
75, 0.019369, 160, 3, 10, 300, 1600, 900, 
76, 0.020404, 160, 3, 10, 300, 1600, 900, 
77, 0.020374, 160, 3, 10, 300, 1600, 900, 
78, 0.022963, 160, 3, 10, 300, 1600, 900, 
79, 0.018719, 160, 3, 10, 300, 1600, 900, 
80, 0.019925, 160, 3, 10, 300, 1600, 900, 
81, 0.019925, 160, 3, 10, 300, 1600, 900, 
82, 0.021949, 160, 3, 10, 300, 1600, 900, 
83, 0.020363, 160, 3, 10, 300, 1600, 900, 
84, 0.018331, 160, 3, 10, 300, 1600, 900, 
85, 0.019165, 160, 3, 10, 300, 1600, 900, 
86, 0.018755, 160, 3, 10, 300, 1600, 900, 
87, 0.018862, 160, 3, 10, 300, 1600, 900, 
88, 0.019109, 160, 3, 10, 300, 1600, 900, 
89, 0.018461, 160, 3, 10, 300, 1600, 900, 
90, 0.018325, 160, 3, 10, 300, 1600, 900, 
91, 0.017666, 160, 3, 10, 300, 1600, 900, 
92, 0.017163, 160, 3, 10, 300, 1600, 900, 
93, 0.017676, 160, 3, 10, 300, 1600, 900, 
94, 0.018287, 160, 3, 10, 300, 1600, 900, 
95, 0.018371, 160, 3, 10, 300, 1600, 900, 
96, 0.017188, 160, 3, 10, 300, 1600, 900, 
97, 0.017395, 160, 3, 10, 300, 1600, 900, 
98, 0.017801, 160, 3, 10, 300, 1600, 900, 
99, 0.017032, 160, 3, 10, 300, 1600, 900, 
100, 0.023544, 160, 3, 10, 300, 1600, 900, 
101, 0.026529, 160, 3, 10, 300, 1600, 900, 
102, 0.023750, 160, 3, 10, 300, 1600, 900, 
103, 0.023019, 160, 3, 10, 300, 1600, 900, 
104, 0.022656, 160, 3, 10, 300, 1600, 900, 
105, 0.023354, 160, 3, 10, 300, 1600, 900, 
106, 0.022723, 160, 3, 10, 300, 1600, 900, 
107, 0.027423, 160, 3, 10, 300, 1600, 900, 
108, 0.025184, 160, 3, 10, 300, 1600, 900, 
109, 0.023318, 160, 3, 10, 300, 1600, 900, 
110, 0.022129, 160, 3, 10, 300, 1600, 900, 
111, 0.021181, 160, 3, 10, 300, 1600, 900, 
112, 0.022639, 160, 3, 10, 300, 1600, 900, 
113, 0.021577, 160, 3, 10, 300, 1600, 900, 
114, 0.021026, 160, 3, 10, 300, 1600, 900, 
115, 0.022964, 160, 3, 10, 300, 1600, 900, 
116, 0.020957, 160, 3, 10, 300, 1600, 900, 
117, 0.021871, 160, 3, 10, 300, 1600, 900, 
118, 0.022201, 160, 3, 10, 300, 1600, 900, 
119, 0.021187, 160, 3, 10, 300, 1600, 900, 
120, 0.020336, 160, 3, 10, 300, 1600, 900, 
121, 0.021040, 160, 3, 10, 300, 1600, 900, 
122, 0.022136, 160, 3, 10, 300, 1600, 900, 
123, 0.019878, 160, 3, 10, 300, 1600, 900, 
124, 0.019291, 160, 3, 10, 300, 1600, 900, 
